,price,location,area,Bedrooms,Bathrooms
53,3400000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
54,2900000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0,2.0
55,5600000.0,"Bhopura, Ghaziabad, Delhi NCR",1655.0,3.0,3.0
56,3000000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
57,4000000.0,"Bhopura, Ghaziabad, Delhi NCR",1275.0,3.0,2.0
58,3800000.0,"Bhopura, Ghaziabad, Delhi NCR",1275.0,3.0,2.0
59,3600000.0,"Bhopura, Ghaziabad, Delhi NCR",1072.0,2.0,2.0
60,3780000.0,"Bhopura, Ghaziabad, Delhi NCR",1265.0,3.0,2.0
61,3200000.0,"Bhopura, Ghaziabad, Delhi NCR",1040.0,2.0,2.0
62,2890000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0,2.0
63,3100000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
64,3040000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
65,3000000.0,"Bhopura, Ghaziabad, Delhi NCR",950.0,2.0,2.0
66,4810000.0,"Bhopura, Ghaziabad, Delhi NCR",1655.0,3.0,3.0
67,3000000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0,2.0
68,3900000.0,"Bhopura, Ghaziabad, Delhi NCR",1365.0,3.0,3.0
69,2900000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0,2.0
70,3000000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0,2.0
71,2900000.0,"Bhopura, Ghaziabad, Delhi NCR",940.0,2.0,2.0
72,3830000.0,"Bhopura, Ghaziabad, Delhi NCR",1200.0,2.0,2.0
73,3300000.0,"Bhopura, Ghaziabad, Delhi NCR",1120.0,2.0,2.0
74,4400000.0,"Bhopura, Ghaziabad, Delhi NCR",1300.0,3.0,2.0
75,4000000.0,"Bhopura, Ghaziabad, Delhi NCR",1290.0,3.0,2.0
76,3080000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0,2.0
77,3500000.0,"Bhopura, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
78,3200000.0,"Bhopura, Ghaziabad, Delhi NCR",950.0,2.0,2.0
79,4270000.0,"Bhopura, Ghaziabad, Delhi NCR",1265.0,3.0,2.0
80,3200000.0,"Bhopura, Ghaziabad, Delhi NCR",965.0,2.0,2.0
81,7200000.0,"Brij Vihar, Ghaziabad, Delhi NCR",1400.0,3.0,3.0
82,4700000.0,"C-16, Greater Noida, C-16, Greater Noida, Delhi NCR",1100.0,2.0,2.0
83,4650000.0,"C-16, Greater Noida, C-16, Greater Noida, Delhi NCR",1110.0,2.0,2.0
84,5400000.0,"C-16, Greater Noida, Delhi NCR",1290.0,2.0,2.0
85,5700000.0,"C-16, Greater Noida, Delhi NCR",1400.0,4.0,4.0
